category,amount,date,description
Work & Study - Course Fees,-234.26,1/09/2015,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Banking & Finance - Loan Repayments,-33.16,2/01/2018,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Shopping - Other Shopping,-151.56,27/01/2018,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Holiday & Travel - Hotels & Accomodation,-226.69,19/02/2015,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Food & Drinks - Cafes & Coffee,-95.26,16/03/2014,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Groceries - Liquor Stores,-25.35,14/12/2014,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Work & Study - Course Fees,-78.29,20/04/2017,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl"
Household Utilities - Other Household Utilities,-17.99,21/10/2016,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
Miscellaneous - Other,-150.97,4/03/2014,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Holiday & Travel - Vehicle Rentals,-78.93,22/10/2016,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in f"
Food & Drinks - Takeaways,-36.17,8/09/2015,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum m"
Shopping - Clothing & Fashion,-98.63,21/05/2016,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Food & Drinks - Other Food & Drinks,-118.11,13/02/2014,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ul"
Groceries - Supermarkets,-72.89,7/12/2014,Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient monte
Transport - Vehicle Maintenance,-144.71,9/12/2015,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Home - Services & Trades,-213.93,11/07/2014,Integer a nibh.
Holiday & Travel - Other Travel,-396.48,31/07/2014,Sed accumsan felis.
Shopping - Electronics & Appliances,-48.03,23/08/2016,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Entertainment - Events,-75.92,18/05/2015,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Household Utilities - Other Household Utilities,-184.30,28/12/2015,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis i"
Holiday & Travel - Other Travel,-137.72,9/01/2015,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Groceries - Supermarkets,-322.45,15/05/2017,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Mo"
Transport - Fuel,-5.76,27/02/2014,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend q"
Groceries - Liquor Stores,-41.82,19/01/2015,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Miscellaneous - Other,-0.44,18/09/2016,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vul
Transport - Taxi & Rideshare,-15.15,11/05/2016,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestib
Home - Services & Trades,-140.91,19/05/2015,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus a
Household Utilities - Other Household Utilities,-8.88,12/03/2017,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend q"
Food & Drinks - Cafes & Coffee,-46.24,30/12/2015,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magn
Groceries - Liquor Stores,-143.48,24/02/2014,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Holiday & Travel - Vehicle Rentals,-45.45,6/10/2016,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor conva
Household Utilities - Phone & Internet,-11.44,10/09/2014,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum m"
Food & Drinks - Other Food & Drinks,-146.41,14/01/2014,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Banking & Finance - Loan Repayments,-176.92,17/09/2017,In hac habitasse platea dictumst.
Holiday & Travel - Flights,-10.62,14/06/2016,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Shopping - Clothing & Fashion,-150.24,19/02/2017,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Entertainment - Media Subscriptions,-31.21,4/06/2015,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Work & Study - Course Fees,-2.71,30/11/2014,Aliquam non mauris.
Holiday & Travel - Vehicle Rentals,-175.61,5/11/2014,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Household Utilities - Water,-4.62,12/05/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Health & Beauty - Eyewear,-96.43,21/03/2016,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Transport - Vehicle Maintenance,-179.56,27/07/2015,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Holiday & Travel - Hotels & Accomodation,-120.03,20/12/2015,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse ac
Household Utilities - Other Household Utilities,-85.20,23/06/2017,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nul"
Miscellaneous - Other,-30.92,12/06/2016,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Entertainment - Media Subscriptions,-0.36,4/07/2017,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Work & Study - News & Subscriptions,-46.82,10/09/2017,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Food & Drinks - Cafes & Coffee,-116.73,5/05/2017,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id n
Shopping - Other Shopping,-175.84,18/05/2017,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non"
Food & Drinks - Takeaways,-56.05,17/11/2015,Pellentesque viverra pede ac diam.
Shopping - Electronics & Appliances,-13.39,20/02/2014,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.
Work & Study - News & Subscriptions,-205.46,7/03/2017,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Home - Services & Trades,-61.14,28/11/2014,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
Health & Beauty - Eyewear,-77.26,10/07/2015,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Holiday & Travel - Other Travel,-321.49,7/05/2015,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nun"
Work & Study - News & Subscriptions,-91.61,5/04/2016,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, mal"
Miscellaneous - Other,-23.72,22/06/2015,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum m"
Home - Rent,-142.12,13/10/2017,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
Household Utilities - Other Household Utilities,-20.09,5/11/2015,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce la
Transport - Fuel,-14.04,3/11/2016,Morbi ut odio.
Transport - Public Transport,-5.75,26/06/2016,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse plate
Shopping - Sports & Outdoor,-150.04,22/02/2014,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, "
Health & Beauty - Eyewear,-8.04,29/03/2016,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Work & Study - News & Subscriptions,-61.84,14/05/2015,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Household Utilities - Phone & Internet,-73.85,11/01/2014,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Work & Study - Other Work & Study,-83.22,13/01/2016,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Work & Study - Other Work & Study,-261.40,24/11/2016,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magn
Food & Drinks - Cafes & Coffee,-150.64,30/01/2016,Aenean sit amet justo. Morbi ut odio.
Entertainment - Events,-136.36,16/08/2017,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
Entertainment - Events,-282.63,10/09/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Shopping - Other Shopping,-237.62,6/07/2014,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum"
Miscellaneous - Other,-17.29,14/07/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Holiday & Travel - Flights,-8.67,26/11/2014,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Banking & Finance - ATM Withdrawals,-22.34,3/01/2015,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Health & Beauty - Doctors & Dentist,-11.02,10/08/2015,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Shopping - Other Shopping,-0.61,11/10/2016,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
Work & Study - Other Work & Study,-8.37,29/10/2015,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Transport - Fuel,-42.12,7/04/2014,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
Household Utilities - Other Household Utilities,-113.71,10/07/2015,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Food & Drinks - Other Food & Drinks,-19.24,23/02/2015,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id n
Miscellaneous - Other,-36.63,19/07/2016,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, "
Entertainment - Events,-57.16,7/09/2016,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis i"
Food & Drinks - Other Food & Drinks,-456.05,18/02/2014,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
Food & Drinks - Restaurants,-21.48,9/03/2014,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu mass"
Work & Study - Course Fees,-69.57,29/04/2017,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, laci"
Food & Drinks - Restaurants,-72.42,26/10/2017,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacin
Holiday & Travel - Other Travel,-1.04,7/04/2017,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Transport - Vehicle Maintenance,-50.51,21/02/2015,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Mor"
Shopping - Electronics & Appliances,-51.90,10/02/2015,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Home - Services & Trades,-45.43,15/12/2015,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at,"
Transport - Taxi & Rideshare,-10.20,25/02/2014,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Miscellaneous - Other,-21.10,14/08/2015,Donec semper sapien a libero. Nam dui.
Holiday & Travel - Hotels & Accomodation,-67.87,24/02/2016,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien u"
Holiday & Travel - Flights,-40.96,16/03/2017,Donec semper sapien a libero.
Home - Services & Trades,-112.91,10/12/2015,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac te
Health & Beauty - Doctors & Dentist,-50.08,10/12/2017,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Insurance - Car Insurance,-115.54,27/02/2014,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
Banking & Finance - Loan Repayments,-159.02,25/12/2017,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Transport - Fuel,-216.70,17/10/2014,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor
Work & Study - Books & Stationery,-144.73,14/07/2016,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor qui"
Food & Drinks - Other Food & Drinks,-102.94,15/07/2015,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus ur
Household Utilities - Water,-111.88,10/02/2017,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus"
Transport - Taxi & Rideshare,-245.90,6/01/2015,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
Home - Rent,-244.46,13/04/2015,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Mor"
Food & Drinks - Other Food & Drinks,-19.94,29/03/2016,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sag"
Home - Rent,-257.58,11/11/2016,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Work & Study - Books & Stationery,-9.79,8/01/2015,In eleifend quam a odio. In hac habitasse platea dictumst.
Household Utilities - Water,-26.13,5/03/2014,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Work & Study - Course Fees,-126.30,14/05/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Home - Services & Trades,-86.34,8/12/2017,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Mor"
Holiday & Travel - Other Travel,-130.41,10/08/2014,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ul"
Holiday & Travel - Hotels & Accomodation,-93.24,5/03/2016,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi
Holiday & Travel - Vehicle Rentals,-155.03,5/08/2016,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultric"
Holiday & Travel - Flights,-26.79,16/01/2014,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacin
Shopping - Other Shopping,-23.33,8/11/2017,Nulla tellus.
Food & Drinks - Cafes & Coffee,-99.07,16/02/2016,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Household Utilities - Water,-441.22,13/10/2014,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Household Utilities - Phone & Internet,-29.53,15/12/2017,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Banking & Finance - ATM Withdrawals,-39.95,27/02/2014,"In est risus, auctor sed, tristique in, tempus sit amet, sem."
Health & Beauty - Gyms & Fitness,-206.69,10/10/2014,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna v
Entertainment - Events,-2.33,17/11/2017,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
Home - Rent,-41.95,28/09/2017,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Transport - Fuel,-105.49,1/01/2018,In hac habitasse platea dictumst.
Entertainment - Events,-76.87,15/12/2015,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, j"
Groceries - Supermarkets,-143.10,16/08/2014,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor qui"
Entertainment - Media Subscriptions,-189.56,17/04/2016,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse plate
